modelo,combinacion,accuracy,accuracy_proporcional,macro_avg_precision,macro_avg_recall,macro_avg_f1,recall_High,f1_High,recall_Low,f1_Low,recall_Medium,f1_Medium,recall_Null,f1_Null,recall_Other,f1_Other
modelo1,"Categóricas, DESCRIPCION, ITNDESCIMPACT, ITNDESCIMPACT",0.9822503343736068,0.9822503343736069,0.9928244979252389,0.8324867638527615,0.8951221216896273,0.5324675324675324,0.6949152542372882,0.8024502297090352,0.8903993203058623,0.8571428571428571,0.923076923076923,0.9788171627367608,0.9806746446690677,0.9915560372076222,0.9865444661589955
modelo2,"Categóricas, DESCRIPCION, ITNDESCIMPACT",0.8912449843958984,0.8912449843958984,0.8854144347275608,0.6965124853309647,0.766135554767353,0.35064935064935066,0.4736842105263157,0.5911179173047473,0.7366412213740458,0.7792207792207793,0.851063829787234,0.8142249710088906,0.8523104313344663,0.9473494084710558,0.9169780808147032
modelo3,"Categóricas, DESCRIPCION, ITNDESCIMPACT",0.9824732501114579,0.9824732501114578,0.9928315755932502,0.8464633534170354,0.906337365658852,0.5974025974025974,0.7479674796747967,0.8070444104134763,0.8932203389830509,0.8571428571428571,0.923076923076923,0.9796675686122922,0.9807290457394938,0.9910593335139528,0.9866930408199963
modelo4,"Categóricas, ITNDESCIMPACT, ITNDESCIMPACT",0.9823896567097637,0.9823896567097636,0.9928800462481263,0.8397508104454114,0.9007746453830603,0.5584415584415584,0.7166666666666666,0.8131699846860643,0.8969594594594594,0.8571428571428571,0.923076923076923,0.9783533049864708,0.9805136946499825,0.9916463469701075,0.9866564830622698
modelo5,"Categóricas, ITNDESCIMPACT",0.9832255907267053,0.9832255907267053,0.9932326764202785,0.8493566956171289,0.9077235286901215,0.5844155844155844,0.7377049180327869,0.8208269525267994,0.9015979814970563,0.8701298701298701,0.9305555555555556,0.9793583301120989,0.9815209390617131,0.9920527409012915,0.987238249303496
modelo6,"Categóricas, DESCRIPCION",0.8896009808292465,0.8896009808292465,0.8812149544989587,0.6780696145193197,0.7544409068280183,0.37662337662337664,0.4915254237288135,0.5666156202143952,0.7115384615384615,0.6883116883116883,0.803030303030303,0.8116737533822961,0.8495711280142418,0.9471236340648425,0.9165392178282717
modelo7,"Categóricas, ITNDESCIMPACT",0.8794583147570219,0.8794583147570219,0.8596791801926245,0.6922499047570358,0.7526722349875675,0.3116883116883117,0.4363636363636364,0.664624808575804,0.7862318840579711,0.7532467532467533,0.7999999999999999,0.792964824120603,0.8324135692257751,0.9387248261537072,0.9083520852904551
modelo8,"DESCRIPCION, ITNDESCIMPACT",0.9831419973250112,0.9831419973250113,0.9902767454714155,0.8460534466284326,0.9049933068726619,0.5974025974025974,0.7479674796747967,0.8039816232771823,0.8913412563667233,0.8571428571428571,0.9166666666666667,0.9792810204870507,0.9817477233094363,0.9924591348324754,0.9872434083456857
modelo9,"DESCRIPCION, ITNDESCIMPACT",0.8748328131966117,0.8748328131966117,0.8830672589017631,0.6772498603328827,0.7478774325538846,0.3116883116883117,0.44859813084112155,0.5895865237366003,0.7284768211920529,0.7662337662337663,0.8309859154929577,0.7746424429841515,0.8269032391169796,0.944098257021584,0.9044230561263111
modelo10,"ITNDESCIMPACT, ITNDESCIMPACT",0.9825011145786893,0.9825011145786893,0.9900310654894234,0.8362939576195869,0.8968715844812744,0.5454545454545454,0.7058823529411764,0.8085758039816233,0.8941574936494496,0.8571428571428571,0.9166666666666667,0.9781986857363741,0.9809667790828391,0.992097895782534,0.98668463006624
modelo11,DESCRIPCION,0.8196054391440035,0.8196054391440036,0.8563755906570103,0.593983619241281,0.6661758690752674,0.15584415584415584,0.2608695652173913,0.5160796324655437,0.6480769230769231,0.7142857142857143,0.8208955223880597,0.6582141476613839,0.7354236848924592,0.9254944459496072,0.8656136498015035
modelo12,ITNDESCIMPACT,0.9834763709317877,0.9834763709317877,0.9904204304704262,0.8465780788398753,0.9042954474478385,0.5714285714285714,0.7272727272727273,0.8192955589586524,0.9006734006734006,0.8701298701298701,0.9241379310344828,0.9796675686122922,0.9819069389020185,0.99236882506999,0.9874862393565635
modelo13,ITNDESCIMPACT,0.8341785555060187,0.8341785555060188,0.8420581598162746,0.6469031271502111,0.7083102251556677,0.24675324675324675,0.3762376237623762,0.6339969372128637,0.7406082289803219,0.7402597402597403,0.7916666666666667,0.6824120603015076,0.7577149233872699,0.9310936512236972,0.8753236829817039
modelo14,Categóricas,0.8593401694159608,0.8593401694159608,0.7381324152237679,0.5112927230573211,0.5691648616338603,0.22077922077922077,0.31775700934579443,0.4655436447166922,0.5634847080630213,0.15584415584415584,0.2553191489361702,0.8096637031310399,0.8144490240298624,0.9046328908154971,0.8948144177944526
